 ињв;-3.5;-3;1.8;9.3;15.5;18.5;20.5;19.7;14.2;8.4;1.9;-2.3
’арк≥в;-5.7;-5.1;0.1;9.1;15.3;19.2;20.4;19.5;13.9;7.3;0.8;-3.3
